nohup: ignoring input
Using: A100-PCIE-40GB
Tuning sw_source_kernel<double, 0>
Using: A100-PCIE-40GB
Tuning sw_adding_kernel<double, 0>
Using: A100-PCIE-40GB
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=0, recompute_denom=0, time=2.455ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=0, recompute_denom=1, time=2.501ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=1, recompute_denom=0, time=3.181ms, registers=38
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=1, recompute_denom=1, time=3.098ms, registers=38
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=2, recompute_denom=0, time=2.682ms, registers=42
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=2, recompute_denom=1, time=2.347ms, registers=54
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=4, recompute_denom=0, time=2.457ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=4, recompute_denom=1, time=2.505ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=5, recompute_denom=0, time=2.476ms, registers=58
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=5, recompute_denom=1, time=2.604ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=7, recompute_denom=0, time=2.489ms, registers=60
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=7, recompute_denom=1, time=2.568ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=10, recompute_denom=0, time=2.428ms, registers=64
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=10, recompute_denom=1, time=2.731ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=14, recompute_denom=0, time=2.441ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=14, recompute_denom=1, time=2.705ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=20, recompute_denom=0, time=2.391ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=20, recompute_denom=1, time=2.502ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=28, recompute_denom=0, time=2.395ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=28, recompute_denom=1, time=2.518ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=35, recompute_denom=0, time=2.389ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=35, recompute_denom=1, time=2.517ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=70, recompute_denom=0, time=2.385ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=70, recompute_denom=1, time=2.511ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=140, recompute_denom=0, time=2.375ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=1, loop_unroll_factor_nlay=140, recompute_denom=1, time=2.498ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=0, recompute_denom=0, time=2.305ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=0, recompute_denom=1, time=2.182ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=1, recompute_denom=0, time=2.699ms, registers=38
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=1, recompute_denom=1, time=2.479ms, registers=38
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=2, recompute_denom=0, time=2.611ms, registers=42
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=2, recompute_denom=1, time=2.300ms, registers=54
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=4, recompute_denom=0, time=2.300ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=4, recompute_denom=1, time=2.176ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=5, recompute_denom=0, time=2.316ms, registers=58
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=5, recompute_denom=1, time=2.225ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=7, recompute_denom=0, time=2.322ms, registers=60
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=7, recompute_denom=1, time=2.207ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=10, recompute_denom=0, time=2.287ms, registers=64
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=10, recompute_denom=1, time=2.299ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=14, recompute_denom=0, time=2.299ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=14, recompute_denom=1, time=2.279ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=20, recompute_denom=0, time=2.262ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=20, recompute_denom=1, time=2.178ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=28, recompute_denom=0, time=2.261ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=28, recompute_denom=1, time=2.182ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=35, recompute_denom=0, time=2.262ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=35, recompute_denom=1, time=2.182ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=70, recompute_denom=0, time=2.259ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=70, recompute_denom=1, time=2.178ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=140, recompute_denom=0, time=2.247ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=2, loop_unroll_factor_nlay=140, recompute_denom=1, time=2.168ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=0, recompute_denom=0, time=2.196ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=0, recompute_denom=1, time=2.114ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=1, recompute_denom=0, time=1.980ms, registers=38
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=1, recompute_denom=1, time=1.759ms, registers=38
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=2, recompute_denom=0, time=2.601ms, registers=42
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=2, recompute_denom=1, time=2.197ms, registers=54
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=4, recompute_denom=0, time=2.193ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=4, recompute_denom=1, time=2.113ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=5, recompute_denom=0, time=2.169ms, registers=58
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=5, recompute_denom=1, time=2.171ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=7, recompute_denom=0, time=2.174ms, registers=60
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=7, recompute_denom=1, time=2.151ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=10, recompute_denom=0, time=2.128ms, registers=64
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=10, recompute_denom=1, time=2.222ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=14, recompute_denom=0, time=2.138ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=14, recompute_denom=1, time=2.227ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=20, recompute_denom=0, time=2.148ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=20, recompute_denom=1, time=2.081ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=28, recompute_denom=0, time=2.146ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=28, recompute_denom=1, time=2.122ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=35, recompute_denom=0, time=2.147ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=35, recompute_denom=1, time=2.122ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=70, recompute_denom=0, time=2.146ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=70, recompute_denom=1, time=2.118ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=140, recompute_denom=0, time=2.133ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=3, loop_unroll_factor_nlay=140, recompute_denom=1, time=2.108ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=0, recompute_denom=0, time=1.865ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=0, recompute_denom=1, time=1.643ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=1, recompute_denom=0, time=1.968ms, registers=38
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=1, recompute_denom=1, time=1.745ms, registers=38
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=2, recompute_denom=0, time=1.937ms, registers=42
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=2, recompute_denom=1, time=1.683ms, registers=54
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=4, recompute_denom=0, time=1.867ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=4, recompute_denom=1, time=1.643ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=5, recompute_denom=0, time=2.326ms, registers=58
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=5, recompute_denom=1, time=1.657ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=7, recompute_denom=0, time=2.338ms, registers=60
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=7, recompute_denom=1, time=1.658ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=10, recompute_denom=0, time=2.298ms, registers=64
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=10, recompute_denom=1, time=2.294ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=14, recompute_denom=0, time=2.308ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=14, recompute_denom=1, time=1.679ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=20, recompute_denom=0, time=1.850ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=20, recompute_denom=1, time=2.179ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=28, recompute_denom=0, time=1.850ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=28, recompute_denom=1, time=1.647ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=35, recompute_denom=0, time=1.852ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=35, recompute_denom=1, time=1.648ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=70, recompute_denom=0, time=1.849ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=70, recompute_denom=1, time=1.645ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=140, recompute_denom=0, time=1.838ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=140, recompute_denom=1, time=1.635ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=0, recompute_denom=0, time=2.304ms, registers=53
